Landing Page,Url Clicks,Impressions,URL CTR,Average Position
https://www.buyshedsdirect.co.uk/blog/post/filling-large-planters-what-to-add-for-drainage,9882,390870,0.025282063090029932,10.377378668099368
https://www.buyshedsdirect.co.uk/blog/post/how-to-lay-slab-base-for-sheds,9537,326459,0.029213469379003182,15.026885458817187
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-shed-base-on-uneven-ground,5847,256144,0.02282700356049722,11.248012836529453
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-shed-base-with-concrete-blocks,5828,264354,0.02204619563161518,15.594585290935639
https://www.buyshedsdirect.co.uk/blog/post/running-power-adding-electricity-to-a-shed,5013,238457,0.02102265817317168,12.146890215007318
https://www.buyshedsdirect.co.uk/blog/post/care-and-maintenance-of-pressure-treated-wood,3195,264575,0.012075970896721156,22.44572616460361
https://www.buyshedsdirect.co.uk/blog/post/greenhouse-base-ideas-and-foundation-options,3034,120213,0.02523853493382579,10.176819478758537
https://www.buyshedsdirect.co.uk/blog/post/garden-fence-law-fence-height-regulations,2977,411361,0.007236952457816857,15.073757599772463
https://www.buyshedsdirect.co.uk/blog/post/how-to-guide-insulating-a-shed-tips,2604,315869,0.008243923905163217,13.297433429681291
https://www.buyshedsdirect.co.uk/blog/post/clever-storage-ideas-for-small-sheds,2495,293099,0.008512482130611159,21.524443959208323
https://www.buyshedsdirect.co.uk/blog/post/how-to-insulate-a-garden-log-cabin,2159,81362,0.026535729210196406,20.190309972714534
https://www.buyshedsdirect.co.uk/blog/post/garden-trellis-guide-6-best-climbing-plants-for-trellis,2102,206028,0.010202496748014833,20.49018579998835
https://www.buyshedsdirect.co.uk/blog/post/what-type-of-shed-should-i-buy,2094,150623,0.013902259283110813,14.169197267349608
https://www.buyshedsdirect.co.uk/blog/post/can-you-put-a-shed-on-gravel,1833,93766,0.019548663694729435,9.586566559307212
https://www.buyshedsdirect.co.uk/blog/post/do-plastic-sheds-need-a-base,1809,108616,0.016655004787508285,10.873978051115857
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-shed-base,1803,274630,0.006565196810253796,21.248800203910715
