Pageviews,Page,URL,"Pub Date",Author,"Top Source","Avg Time","Estimated Time",Fb,Readability,"Finished Reading","Desktop Readability","Tablet Readability","Smartphone Readability",Recirculation,Categories,Subcategories
14690,"The Gilded Age: Did Jack Trotter Invent the Alarm Clock? | Epicstream",epicstream.com/article/jack-trotter-clock,"2023-12-04 10:56:24","Fatima Castillo","google - 77%",71.38,164,0,17%,2569,34%,18%,15%,0%,"TV Shows, HBO, Queries, Geek Culture",
14680,"Why Is Yuta Okkotsu Trying to Kill Yuji Itadori in Jujutsu Kaisen? | Epicstream",epicstream.com/article/why-is-yuta-okkotsu-trying-to-kill-yuji-itadori-jujutsu-kaisen,"2022-07-11 00:40:30",R.Y.,"google - 97%",58.61,117,0,37%,5429,37%,25%,37%,2%,"Anime, Manga, Jujutsu Kaisen",
14670,"Who Does Dark Schneider End Up With in Bastard? | Epicstream",epicstream.com/article/who-does-dark-schneider-end-up-with-in-bastard,"2022-07-05 07:31:19","Cathlyn Melo","google - 99%",89.08,238,0,43%,6309,48%,47%,42%,1%,Anime,
14634,"Where to Watch Vermeil in Gold: Crunchyroll, Netflix, HIDIVE in Sub and Dub | Epicstream",epicstream.com/article/where-to-watch-vermeil-in-gold-crunchyroll-netflix-hidive-in-sub-and-dub,"2022-06-29 01:38:41",R.Y.,"google - 98%",27.1,146,0,31%,4569,40%,32%,29%,10%,"Anime, Where to Watch",
14595,"Has Korean Series Tomorrow Been Renewed for Season 2? | Epicstream",epicstream.com/article/has-korean-series-tomorrow-been-renewed-for-season-2,"2023-03-02 23:14:44","Christine Canencia","google - 99%",48.15,137,0,28%,4047,32%,33%,27%,4%,"Queries, Netflix, K-Wave, Tomorrow",
14483,"Castaway Diva: Who is the Real Jung Ki-ho? Explained | Epicstream",epicstream.com/article/castaway-diva-jung-ki-ho,"2023-10-30 15:55:56","Christine Canencia","google - 95%",88.05,285,0,38%,5486,46%,45%,36%,1%,"K-Wave, Kdrama, Queries, Netflix, Castaway Diva, Geek Culture",
14368,"One Piece Film: Red Blu-ray Release Date: When Will the Movie Arrive on DVD? | Epicstream",epicstream.com/article/one-piece-film-red-blu-ray-release-date-dvd,"2022-10-30 16:17:46","Cathlyn Melo","google - 100%",35.93,215,47,17%,2427,26%,25%,14%,1%,"Anime, Queries, One Piece",
14177,"Is The Uncanny Counter Season 2 Coming Out in March 2023?  | Epicstream",epicstream.com/article/when-is-the-uncanny-counter-season-2-coming-out,"2022-07-28 05:48:06","Christine Canencia","google - 100%",52.85,285,0,16%,2201,22%,22%,14%,1%,"Queries, Netflix, The Uncanny Counter",
14151,"Boruto: When Will The Timeskip Happen? Here's What We Know | Epicstream",epicstream.com/article/when-will-boruto-timeskip-happen-heres-what-we-know,"2022-08-09 19:55:34","Jake Vyper","google - 99%",60.7,240,0,22%,3070,28%,20%,20%,2%,"Anime, Boruto: Naruto Next Generations, Queries",
14094,"RWBY Volume 10 Release Date, Studio, Where to Watch, Trailer, and Everything You Need to Know! | Epicstream",epicstream.com/article/rwby-volume-10-release-date-where-to-watch-trailer-all-details,"2023-04-28 14:32:59","Madalena Daleziou","google - 86%",69.38,283,0,20%,2849,25%,25%,18%,2%,Anime,
13891,"Who Does Anzu End Up With in Romantic Killer? | Epicstream",epicstream.com/article/who-does-anzu-end-up-with-in-romantic-killer,"2022-11-18 05:51:22","Cathlyn Melo","google - 100%",57.26,294,0,49%,6766,54%,48%,47%,1%,"Anime, Queries, Netflix",
13863,"Is HIDIVE Worth It? HIDIVE vs Crunchyroll Comparison | Epicstream",epicstream.com/article/is-hidive-worth-it-hidive-vs-crunchyroll-comparison,"2022-07-04 15:37:33","Will Taylor","google - 94%",78,264,0,32%,4490,45%,37%,28%,6%,Anime,
13846,"Who Wins in Rent-A-Girlfriend? Who Kazuya Ends Up With Explained | Epicstream",epicstream.com/article/who-wins-in-rent-a-girlfriend-who-kazuya-ends-up-with-explained,"2022-06-17 22:52:32","Margarita Rances","google - 98%",38.55,163,0,53%,7362,55%,52%,53%,1%,"Anime, Queries",
13828,"DanMachi Season 4 Episode 18 Release Date and Time, COUNTDOWN | Epicstream",epicstream.com/article/danmachi-season-4-next-episode-release-date-time-countdown,"2023-02-13 15:47:10",R.Y.,"google - 100%",22.24,155,0,17%,2308,20%,28%,15%,4%,"Anime, DanMachi",
13809,"Chainsaw Man Manga Release Schedule: When Do New Chapters Come Out? | Epicstream",epicstream.com/article/chainsaw-man-manga-release-schedule-new-chapters,"2022-08-30 16:49:31","Will Taylor","google - 98%",25.35,145,0,31%,4226,42%,36%,26%,3%,"Anime, Manga, Chainsaw Man",
13803,"Where to Watch Uncensored Harem in the Labyrinth of Another World Super Harem Version Online | Epicstream",epicstream.com/article/where-to-watch-uncensored-harem-in-the-labyrinth-of-another-world-super-harem-version,"2022-07-12 22:53:13","Will Taylor","google - 95%",38.69,181,0,36%,4967,37%,35%,36%,4%,"Anime, Where to Watch",
13703,"Heavenly Delusion’s Sex-Fueled Episode Shows Maru Is Just Like Denji | Epicstream",epicstream.com/article/heavenly-delusion-shows-maru-is-like-denji,"2023-05-08 11:44:30","Nicolo Manaloto","google - 96%",19.15,155,57,19%,2655,30%,23%,18%,1%,"Anime News, Anime, Heavenly Delusion",
13554,"NieR: Automata Ver1.1a Episode 9 DELAYED Release Date and Time | Epicstream",epicstream.com/article/nier-automata-anime-next-episode-release-date-time-countdown,"2023-03-20 09:35:39","Tarun Mazumdar","google - 99%",37.29,268,0,22%,2951,26%,39%,19%,3%,"Anime, NieR:Automata",
13516,"Bleach Watch Order: How to Watch Bleach Without Filler | Epicstream",epicstream.com/article/how-to-watch-bleach-without-filler--watch-order-and-what-to-skip,"2022-10-07 06:15:52",R.Y.,"google - 99%",42.73,183,0,8%,1038,10%,11%,7%,1%,"Anime, Queries, Bleach",
13398,"8 Best R-Rated (18+) Anime That Are Worth Watching | Epicstream",epicstream.com/article/best-r-rated-anime,"2023-09-14 15:03:22","Tarun Mazumdar","bing.com - 35%",33.84,30,0,22%,2964,26%,19%,19%,3%,"Anime, Lists",
13365,"What Anime Is Fortnite’s Nezumi From? Chapter 4 Skin Explained | Epicstream",epicstream.com/article/what-anime-is-fortnite-nezumi-from-chapter-4-skin-explained,"2022-12-09 03:15:31","Cathlyn Melo","google - 99%",42.62,191,0,9%,1179,15%,12%,7%,11%,"Anime, Queries, Games, Fortnite",
13328,"The Apothecary Diaries: Every Main Character's Age & Birthday | Epicstream",epicstream.com/article/apothecary-diaries-characters,"2023-10-25 10:50:46","Cathlyn Melo","google - 88%",55.55,302,0,18%,2400,24%,20%,16%,1%,"Anime, Queries, The Apothecary Diaries",
13299,"Is Lookism’s Jae Yeol (Jay Hong) Gay? Who He Likes Explained | Epicstream",epicstream.com/article/is-lookism-jae-yeol-jay-hong-gay-who-he-likes-explained,"2022-12-16 06:11:59","Cathlyn Melo","google - 94%",67.48,217,0,32%,4284,38%,35%,31%,4%,"Anime, Queries, Netflix",
13156,"Jujutsu Kaisen Watch Order: Should You Watch the Movie First? | Epicstream",epicstream.com/article/jujutsu-kaisen-watch-order,"2022-04-08 12:25:38","Will Taylor","google - 94%",41.49,302,0,12%,1523,15%,19%,10%,2%,"Anime, Jujutsu Kaisen",
13138,"The 18 Best Action Anime with a Badass Female Lead | Epicstream",epicstream.com/article/the-best-action-anime-with-a-female-lead,"2022-08-05 10:25:00","Will Taylor","google - 98%",49.79,25,27,49%,6463,54%,45%,47%,3%,"Anime, Lists",
13077,"More Than a Married Couple, But Not Lovers Season 2 Release Date News and Predictions | Epicstream",epicstream.com/article/more-than-a-married-couple-but-not-lovers-season-2-release-date-news-predictions,"2022-12-30 17:48:30","Tarun Mazumdar","google - 99%",30.44,137,0,16%,2081,25%,23%,14%,4%,"Anime, Queries",
12882,"Is the Made in Abyss Manga Finished or Ongoing? Latest Update | Epicstream",epicstream.com/article/is-made-in-abyss-manga-finished-ongoing-latest-update,"2022-07-12 07:47:55","Cathlyn Melo","google - 100%",39.48,142,0,44%,5622,48%,53%,41%,2%,"Anime, Manga",
12874,"Who Does Rudeus Greyrat End up With and Marry in Mushoku Tensei Jobless Reincarnation? | Epicstream",epicstream.com/article/who-does-rudeus-greyrat-end-up-with-and-marry-in-mushoku-tensei-jobless-reincarnation,"2021-03-02 10:50:13","Margarita Rances","google - 96%",86.11,268,0,51%,6531,52%,53%,50%,2%,Anime,
12802,"Carnival Row Season 2 Release Date, Trailer, Cast, Plot, and Everything You Need to Know About The Amazon Prime Series | Epicstream",epicstream.com/article/carnival-row-season-2-release-date-plot-cast-updates-episode-1-amazon-prime,"2023-01-19 19:04:56","Jake Vyper","google - 99%",65.09,412,14,9%,1198,16%,19%,7%,5%,"Fantasy & Science Fiction, Hubs",
12734,"Where to Watch Oshi no Ko: Crunchyroll, Netflix, HIDIVE in Sub and Dub | Epicstream",epicstream.com/article/where-to-watch-oshi-no-ko-crunchyroll-netflix-hidive-sub-dub,"2023-04-06 11:06:54","Cathlyn Melo","google - 97%",38.77,290,0,17%,2128,22%,20%,15%,4%,"Anime, Queries, Where to Watch, Oshi no Ko",
12733,"Where to Start Reading Blue Lock's Manga After the Anime | Epicstream",epicstream.com/article/where-to-start-reading-blue-lock-manga-after-the-anime,"2023-03-21 10:02:04","Cathlyn Melo","google - 99%",39.54,162,66,12%,1468,15%,18%,10%,1%,"Anime, Manga, Queries, Blue Lock",
12723,"Where to Watch and Stream La Reina del Sur Season 3 Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-la-reina-del-sur-season-3-free-online,"2022-10-21 01:20:54","Epicsteam Team","google - 100%",43.05,28,0,15%,1956,15%,21%,15%,2%,"Where to Watch",
12640,"Code Geass Season 3 Release Date, Plot, Cast, Trailer, News & Everything You Need to Know  | Epicstream",epicstream.com/article/code-geass-season-3-release-date-plot-cast-news,"2022-07-15 18:13:51","Jake Vyper","google - 99%",60.44,400,0,7%,834,11%,9%,5%,1%,"Hubs, Anime, Code Geass",
12571,"Where to Watch Heavenly Delusion: Crunchyroll, Disney+, or HIDIVE in Sub & Dub | Epicstream",epicstream.com/article/where-to-watch-heavenly-delusion-crunchyroll-hidive-disney-sub-dub,"2023-03-30 11:39:33","Tarun Mazumdar","google - 93%",37.77,191,0,7%,849,8%,10%,6%,2%,"Anime, Queries, Where to Watch",
12558,"Is Suzume no Tojimari Related to Weathering with You or Your Name? | Epicstream",epicstream.com/article/is-suzume-no-tojimari-related-to-weathering-with-you-or-your-name,"2022-10-06 10:17:57",R.Y.,"google - 99%",36.13,145,23,28%,3572,37%,32%,26%,1%,Anime,
12461,"10 Best Fan Service Moments from Marin Kitagawa in My Dress-Up Darling | Epicstream",epicstream.com/article/best-fan-service-moments-from-marin-kitagawa-in-my-dress-up-darling,"2022-04-07 09:28:05","Cathlyn Melo","google - 99%",42.65,401,0,34%,4280,40%,38%,32%,3%,"Anime, My Dress-Up Darling",
12378,"Where to Watch and Stream Maid in Malacañang Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-maid-in-malacanang-free-online,"2022-10-19 03:08:16","Epicsteam Team","google - 100%",23.1,213,41,26%,3265,26%,29%,27%,1%,"Where to Watch",
12376,"The 10 Best Isekai Anime of 2022 | Epicstream",epicstream.com/article/best-isekai-anime,"2022-05-06 15:56:02","Will Taylor","google - 99%",55.37,29,0,39%,4844,50%,30%,33%,5%,Anime,
12372,"Where to Watch and Stream Life-Size Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-life-size-free-online,"2022-07-24 06:56:12","Epicstream Team","google - 100%",22.88,213,0,43%,5284,32%,35%,44%,2%,"Where to Watch",
12335,"VALORANT Mobile Release Date, Gameplay, Trailer & Everything You Need to Know | Epicstream",epicstream.com/article/valorant-mobile-beta-riot-games-confirmation,"2023-01-19 17:26:17","Jake Vyper","google - 100%",38.16,420,0,4%,498,5%,6%,4%,2%,"Esports, Valorant, Gaming, Hubs",
12217,"Mushoku Tensei Season 2 English Dub: Release Date, Cast, and News | Epicstream",epicstream.com/article/mushoku-tensei-season-2-english-dub-release-date,"2023-06-28 09:02:31","Tarun Mazumdar","google - 97%",30.83,148,0,19%,2331,23%,22%,18%,2%,"Anime, Queries, Mushoku Tensei",
12208,"Who Are Mash’s Parents in Mashle? | Epicstream",epicstream.com/article/who-are-mash-parents-mashle,"2023-05-10 08:09:39","Cathlyn Melo","google - 88%",93.03,248,0,23%,2779,25%,27%,22%,3%,"Anime, Manga, Queries, Mashle",
12096,"Mashle Dub Release Date: When Will It Be Dubbed in English? | Epicstream",epicstream.com/article/mashle-english-dub-release-date,"2023-04-06 11:29:20","Cathlyn Melo","google - 98%",51.34,235,0,10%,1180,14%,15%,9%,2%,"Anime, Queries, Mashle",
11974,"Who Wins in Blue Lock? | Epicstream",epicstream.com/article/who-wins-in-blue-lock,"2022-10-19 07:27:01","Cathlyn Melo","google - 99%",50.91,243,0,28%,3356,36%,31%,26%,1%,"Anime, Queries",
11896,"DanMachi’s Levels and Highest Level Explained | Epicstream",epicstream.com/article/danmachi-levels-explained,"2022-07-29 15:41:57","Will Taylor","google - 97%",69.53,280,0,41%,4934,47%,45%,39%,4%,Anime,
11728,"Is the My Hero Academia Manga Ending or Over? Latest Update | Epicstream",epicstream.com/article/is-my-hero-academia-manga-ending-or-over-latest-update,"2023-03-14 09:35:48","Cathlyn Melo","google - 98%",47.44,236,0,30%,3481,40%,38%,25%,2%,"Anime, Manga, Queries, My Hero Academia",
11580,"Legend by Marie Lu TV Series: Potential Release Date, Cast, Plot, and Everything You Need to Know | Epicstream",epicstream.com/article/legend-by-marie-lu-tv-series-release-date-cast-plot-and-everything-you-need-to-know,"2023-03-23 17:49:33","Margarita Rances","google - 98%",46.95,198,0,41%,4761,50%,41%,39%,2%,"Fantasy & Science Fiction, Books, Hubs",
11576,"Why Does Inumaki Say Salmon, Tuna, Bonito Flakes in Jujutsu Kaisen Explained | Epicstream",epicstream.com/article/why-does-inumaki-say-salmon-tuna-bonito-flakes-in-jujutsu-kaisen-explained,"2021-06-14 17:40:23","Marla Anonuevo","google - 97%",43.07,154,0,42%,4857,47%,49%,40%,1%,Anime,
11544,"Cheat Skill in Another World Episode 10 Release Date and Time, COUNTDOWN | Epicstream",epicstream.com/article/cheat-skill-in-another-world-next-episode-release-date-time-countdown,"2023-04-04 18:02:26","Tarun Mazumdar","google - 99%",24.27,164,0,10%,1204,11%,15%,10%,3%,"Anime, I Got a Cheat Skill in Another World",
11471,"Do Sakuragi and Haruko End Up Together in Slam Dunk? | Epicstream",epicstream.com/article/do-sakuragi-and-haruko-end-up-together-in-slam-dunk,"2022-05-05 11:28:54","Cathlyn Melo","google - 99%",51.58,189,0,53%,6042,57%,58%,51%,3%,"Anime, Manga",
11370,"Does Magari Die in Insomniacs After School? | Epicstream",epicstream.com/article/does-magari-die-insomniacs-after-school,"2023-05-03 09:40:13","Madalena Daleziou","google - 98%",60.23,172,40,26%,2943,32%,39%,23%,7%,"Anime, Queries",
11349,"The Misfit of Demon King Academy Season 2 Episode 7 Release Date and Time | Epicstream",epicstream.com/article/misfit-of-demon-king-academy-season-2-next-episode-release-date-time-countdown,"2023-02-13 16:57:40","Tarun Mazumdar","google - 100%",32.64,287,0,22%,2472,23%,28%,21%,3%,"Anime, The Misfit of Demon King Academy",
11201,"Who Was Sandra Westgate from Masters of the Air? Bel Powley Tells Her True Story | Epicstream",epicstream.com/article/sandra-westgate-masters-of-the-air,"2024-02-23 13:50:39","Christine Canencia","google - 80%",50.29,152,52,29%,3287,42%,39%,26%,2%,"Queries, Geek Culture",
11161,"Who Does Saiki End Up With in The Disastrous Life of Saiki K Explained | Epicstream",epicstream.com/article/who-does-saiki-end-up-with-in-the-disastrous-life-of-saiki-k-explained,"2021-12-29 20:57:06","Marla Anonuevo","google - 97%",43.53,153,0,56%,6276,57%,56%,56%,2%,Anime,
11159,"Who Does Jirou End up With in More Than a Married Couple, But Not Lovers? | Epicstream",epicstream.com/article/who-does-jirou-end-up-with-more-than-a-married-couple-but-not-lovers,"2022-10-26 10:53:07","Tarun Mazumdar","google - 100%",48.88,204,0,52%,5839,56%,53%,51%,7%,"Anime, Queries",
11071,"The Eminence in Shadow Dub Release Date: When Will It Be Dubbed in English? | Epicstream",epicstream.com/article/the-eminence-in-shadow-dub-release-date-when-will-it-be-dubbed-in-english,"2022-12-22 08:13:36","Madalena Daleziou","google - 99%",30.41,185,0,17%,1875,21%,12%,15%,4%,"Anime, Queries",
11006,"Is The Flash Gay in The Movie? | Epicstream",epicstream.com/article/is-the-flash-barry-allen-gay-in-2023-dc-movie,"2023-06-14 19:49:32","Fatima Castillo","google - 95%",87.59,261,0,11%,1166,15%,19%,10%,1%,"Queries, The Flash, DC, Geek Culture",
10944,"One Piece Netflix Live-Action Release Date, Plot, Cast & Everything You Need to Know | Epicstream",epicstream.com/article/one-piece-netflix-live-action-release-date,"2022-08-18 19:02:37","Jake Vyper","google - 98%",65.98,603,0,7%,790,12%,5%,5%,2%,"Anime, Netflix, Hubs",
10940,"Slam Dunk Movie Release Date, Trailer, Plot, Characters, Where to Watch, and Everything You Need to Know | Epicstream",epicstream.com/article/slam-dunk-movie-release-date-trailer-plot-characters-where-to-watch-updates-news-and-everything-you-need-to-know,"2023-02-06 09:51:17",R.Y.,"google - 99%",29.59,183,0,28%,3088,33%,24%,27%,2%,"Anime, Hubs, Queries",
10917,"Who is the Real Traitor in Tomodachi Game? | Epicstream",epicstream.com/article/who-is-the-real-traitor-in-tomodachi-game,"2022-05-04 07:53:41","Cathlyn Melo","google - 97%",76.37,352,0,40%,4379,43%,51%,39%,2%,Anime,
10888,"How Old Is Mizu in Blue Eye Samurai? Every Main Character's Age & Birthday | Epicstream",epicstream.com/article/blue-eye-samurai-characters,"2023-11-16 08:42:25","Cathlyn Melo","google - 95%",43.9,415,0,3%,374,8%,9%,3%,2%,"Anime, Queries, Blue Eye Samurai, Netflix",
10789,"Your Lie in April’s Ending Explained | Epicstream",epicstream.com/article/your-lie-in-april-ending-explained,"2022-02-07 14:04:53","Will Taylor","google - 98%",73.69,225,0,31%,3302,36%,44%,29%,2%,Anime,
10771,"Where to Watch and Stream Knives Out Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-knives-out-free-online,"2022-06-26 03:10:59","Epicsteam Team","google - 100%",27.39,105,0,24%,2554,22%,12%,27%,1%,"Where to Watch",
10753,"Kaguya-sama: Love Is War Ending Explained | Epicstream",epicstream.com/article/kaguya-sama-love-is-war-ending-explained,"2022-11-01 07:17:23","Madalena Daleziou","google - 96%",70.79,280,0,26%,2750,28%,31%,24%,14%,"Anime, Manga, Kaguya-sama: Love is War",
10520,"Hell's Paradise Episode 9 Release Date and Time, COUNTDOWN | Epicstream",epicstream.com/article/hell-paradise-jigokuraku-next-episode-release-date-time-countdown,"2023-04-03 15:31:22","Madalena Daleziou","google - 99%",22.83,190,0,4%,382,5%,4%,3%,3%,"Anime, Hell's Paradise: Jigokuraku",
10499,"My Life with the Walter Boys: Who Is Paige and Who Plays Her? | Epicstream",epicstream.com/article/my-life-with-the-walter-boys-paige,"2023-12-08 10:44:27","Fatima Castillo","google - 95%",34.35,213,175,8%,796,15%,23%,6%,1%,"Netflix, Queries, Geek Culture",
10437,"Spy x Family: Why Does Anya Have Horns? | Epicstream",epicstream.com/article/spy-x-family-why-does-anya-have-horns,"2023-06-09 07:27:09","Cathlyn Melo","google - 99%",49.73,202,0,20%,2093,27%,17%,18%,9%,"Anime, Queries, Spy x Family",
10373,"Rurouni Kenshin (2023) Release Date, Studio, Where to Watch, Trailer, and Everything You Need to Know! | Epicstream",epicstream.com/article/rurouni-kenshin-2023-release-date-studio-where-to-watch-trailer-everything-you-need-to-know,"2023-06-08 07:23:28","Cathlyn Melo","google - 99%",52.03,226,76,26%,2738,27%,33%,26%,2%,"Anime, Hubs",
10295,"Where to Watch and Stream All 5 Pirates of the Caribbean Movies Free Online - 2022 Update | Epicstream",epicstream.com/article/where-to-watch-and-stream-all-pirates-of-the-pirates-of-the-caribbean-movies-free-online-netflix-hulu-hbo-disney-amazon-prime,"2022-05-02 18:18:23","Madalena Daleziou","google - 97%",26.35,226,0,21%,2176,24%,23%,20%,1%,"Disney, Where to Watch",
10225,"How Oshi No Ko and Kaguya-sama are Related Explained | Epicstream",epicstream.com/article/how-oshi-no-ko-and-kaguya-sama-are-related-explained,"2022-08-09 16:31:38","Will Taylor","google - 97%",72.81,242,18,31%,3132,38%,43%,26%,3%,"Anime, Manga, Kaguya-sama: Love is War, Oshi no Ko",
10210,"Where to Watch and Stream Kingdom 3: The Flame of Fate Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-kingdom-3-the-flame-of-fate-free-online,"2023-08-14 04:01:43","Epicstream Team","google - 97%",16.37,107,0,44%,4491,42%,54%,44%,9%,"Where to Watch",
10199,"Alaska Daily Season 1 Episode 7 Return Date, Spoilers & Update: What To Expect When Eileen Fitzgerald Returns In 2023 | Epicstream",epicstream.com/article/alaska-daily-season-1-episode-7-return-date-spoilers-update-what-to-expect-when-eileen-fitzgerald-returns-in-2023,"2022-11-29 08:33:24","Arianne Gift","google - 100%",46.87,205,0,16%,1647,27%,26%,12%,2%,"Pop Culture",
10174,"Sweet Home Season 2 Netflix Release Date, Plot, Cast, Trailer & Everything You Need to Know | Epicstream",epicstream.com/article/sweet-home-season-2-release-date-plot-cast-trailer-updates,"2022-08-04 19:38:12","Jake Vyper","google - 99%",53.75,280,37,17%,1720,26%,16%,14%,2%,"Netflix, Hubs",
10149,"Who Is Gon’s Mother in Hunter x Hunter? | Epicstream",epicstream.com/article/who-is-gons-mother-in-hunter-x-hunter,"2022-06-14 00:16:29",R.Y.,"google - 100%",42.43,144,0,42%,4311,48%,47%,42%,1%,"Anime, Manga, Hunter x Hunter",
10090,"Do Yume and Mizuto End Up Together in My Stepmom's Daughter Is My Ex? | Epicstream",epicstream.com/article/do-yume-and-mizuto-end-up-together-my-stepmoms-daughter-is-my-ex,"2022-07-15 21:49:27","Margarita Rances","google - 98%",26.6,115,0,53%,5302,56%,55%,52%,2%,"Anime, Queries",
10023,"Does the Duke of Death Ever Break His Curse and Get Cured? | Epicstream",epicstream.com/article/does-the-duke-of-death-ever-break-his-curse-and-get-cured,"2021-08-25 17:33:48","Madalena Daleziou","google - 97%",58.22,170,0,52%,5200,53%,57%,51%,5%,"Anime, Manga, Queries",
10013,"How Many Episodes Will Chainsaw Man Have? | Epicstream",epicstream.com/article/how-many-episodes-will-chainsaw-man-have,"2022-12-09 18:28:07","Margarita Rances","google - 99%",25.27,151,0,17%,1695,29%,11%,13%,4%,"Anime, Queries, Chainsaw Man",
9999,"Where to Watch and Stream Hoodwinked! Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-hoodwinked-free-online,"2022-07-24 00:11:55","Epicsteam Team","google - 100%",24.85,234,0,46%,4597,37%,51%,48%,3%,"Where to Watch",
9966,"Crunchyroll vs. Funimation 2023: Which Is Better for Anime Streaming? | Epicstream",epicstream.com/article/crunchyroll-vs-funimation-2021-which-is-better-for-anime-streaming-comparison-of-dubs-subs-simulcasts-catalog-ads-price-comparison-and-everything-you-need-to-know,"2023-02-09 17:58:08","Madalena Daleziou","google - 76%",91.21,426,0,19%,1901,27%,24%,16%,7%,"Anime, Queries",
9911,"Where to Watch and Stream Six Swedish Girls in a Boarding School Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-six-swedish-girls-in-a-boarding-school-free-online,"2022-10-20 16:36:01","Epicsteam Team","google - 93%",20.19,264,0,24%,2374,25%,27%,24%,3%,"Where to Watch",
9899,"Hunter x Hunter: All 6 Nen Types Explained | Epicstream",epicstream.com/article/hunter-x-hunter-all-nen-types-explained,"2022-06-16 01:55:23",R.Y.,"google - 97%",98.12,267,0,42%,4160,47%,41%,41%,2%,"Anime, Manga, Hunter x Hunter",
9825,"Gundam: Witch from Mercury Episode 18 Delayed Release Date Announced | Epicstream",epicstream.com/article/witch-from-mercury-episode-18-delayed-release-date,"2023-05-04 11:59:20","Nicolo Manaloto","google - 99%",39.89,130,76,13%,1273,18%,21%,10%,2%,"Anime News, Anime, Mobile Suit Gundam",
9816,"Is Mo Dao Zu Shi on Crunchyroll, Netflix, Hulu, or Funimation in English Sub or Dub? Where to Watch and Stream the Latest Episodes Free Online | Epicstream",epicstream.com/article/is-mo-dao-zu-shi-on-crunchyroll-netflix-hulu-or-funimation-in-english-sub-or-dub-where-to-watch-free-online,"2021-09-08 15:58:49","Madalena Daleziou","google - 98%",40.28,185,0,46%,4548,49%,45%,45%,2%,Anime,
9794,"Who Does Misuzu End Up With in Tomo-chan Is a Girl? | Epicstream",epicstream.com/article/who-does-misuzu-end-up-with-tomo-chan-is-a-girl,"2023-03-15 10:07:41","Cathlyn Melo","google - 99%",60.49,250,0,34%,3286,42%,50%,31%,2%,"Anime, Manga, Queries, Tomo-chan Is a Girl!",
9793,"Where to Watch and Stream You Can Live Forever Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-you-can-live-forever-free-online,"2022-10-24 21:20:59","Epicsteam Team","google - 99%",20.71,238,0,30%,2930,30%,28%,30%,3%,"Where to Watch",
9731,"Do Mitsumi and Sousuke End Up Together in Skip and Loafer? | Epicstream",epicstream.com/article/do-mitsumi-and-sousuke-end-up-together-skip-and-loafer,"2023-04-12 10:52:46","Tarun Mazumdar","google - 98%",41.95,189,0,36%,3485,34%,46%,36%,3%,"Anime, Queries, Skip and Loafer",
9730,"Where to Watch and Stream X-Rated: The Greatest Adult Movies of All Time Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-x-rated-the-greatest-adult-movies-of-all-time-free-online,"2022-06-14 01:01:15","Epicsteam Team","google - 98%",29.39,98,0,26%,2566,32%,37%,24%,2%,"Where to Watch",
9729,"The Ancient Magus' Bride Watch Guide: Anime and OVA Watch Order | Epicstream",epicstream.com/article/the-ancient-magus-bride-watch-order,"2023-03-10 18:16:25","Madalena Daleziou","google - 99%",53.23,156,0,20%,1900,25%,22%,18%,1%,"Anime, Queries, The Ancient Magus' Bride",
9728,"Mushoku Tensei Season 3 Release Date News and Predictions | Epicstream",epicstream.com/article/mushoku-tensei-season-3-release-date-news,"2023-09-07 12:41:29","Tarun Mazumdar","google - 99%",38.35,134,0,12%,1208,18%,14%,10%,1%,"Anime, Queries, Mushoku Tensei",
9724,"Where to Watch and Stream My Fault Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-my-fault-free-online,"2023-06-10 14:01:37","Epicstream Team","google - 71%",11.92,244,0,10%,1020,13%,13%,8%,0%,"Where to Watch",
9688,"How Many Episodes Will The Eminence in Shadow Have? | Epicstream",epicstream.com/article/the-eminence-in-shadow-episode-count,"2022-10-11 18:09:11","Madalena Daleziou","google - 99%",33.48,165,0,28%,2728,35%,22%,25%,4%,"Queries, Anime",
9656,"Harem in the Labyrinth of Another World Dub Release Date: When Will it be Dubbed in English? | Epicstream",epicstream.com/article/harem-in-the-labyrinth-of-another-world-dub-release-date,"2022-07-08 01:50:30",R.Y.,"google - 94%",28.98,136,0,26%,2474,35%,28%,22%,4%,Anime,
9609,"Where to Watch and Stream Run Hide Fight Free Online | Epicstream",epicstream.com/article/where-to-watch-and-stream-run-hide-fight-free-online,"2022-07-12 20:36:00","Epicstream Team","google - 99%",28.55,217,0,48%,4605,44%,45%,49%,6%,"Where to Watch",
9570,"Who Killed Myeong-O in The Glory 2? | Epicstream",epicstream.com/article/who-killed-myeong-o-in-the-glory-2,"2023-03-12 13:49:27","Christine Canencia","google - 100%",132.86,434,0,20%,1928,24%,20%,20%,3%,"Queries, Netflix, The Glory",
