# ----------------------------------------
# Report CSV Export
# Account: Epicstream
# Property: Epicstream.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230408
# End date: 20240408
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Conversions,Ad revenue
/article/rebel-moon-post-credit-scene,136,5533,0.024579793963491775,8.820350623531539,125,70,0.546875,21.216,646,9,0
/article/harmada-rebel-moon,80,9689,0.008256786046031582,10.16338115388585,93,61,0.6288659793814433,30.053763440860216,500,12,0
/article/where-to-watch-and-stream-rebel-moon-part-one-a-child-of-fire-free-online,65,491,0.13238289205702647,27.334012219959266,42,11,0.2619047619047619,6.571428571428571,263,6,0
/article/rebel-moon-cast-characters-guide,23,2521,0.009123363744545815,35.28599761999207,35,22,0.5789473684210527,46.82857142857143,225,26,0
/article/staz-nair-rebel-moon,19,4209,0.004514136374435733,7.642908054169636,70,42,0.5675675675675675,35.1,443,14,0
/article/cleopatra-coleman-rebel-moon,6,758,0.0079155672823219,11.585751978891821,22,14,0.5,23.40909090909091,138,3,0
/article/michiel-huisman-rebel-moon,4,185,0.021621621621621623,53.524324324324326,10,5,0.4166666666666667,12.1,55,2,0
/article/what-is-rebel-moon-based-on,4,108,0.037037037037037035,34.24074074074074,30,9,0.21951219512195122,17.433333333333334,153,3,0
/article/is-rebel-moon-star-wars,3,14,0.21428571428571427,23.857142857142858,5,4,0.6666666666666666,17.8,32,1,0
/article/rebel-moon-first-reactions,3,49,0.061224489795918366,20.020408163265305,8,6,0.75,23.875,45,0,0
/article/rebel-moon-release-date-cast-plot-trailer-and-everything-we-need-to-know-about-the-netflix-series,2,55,0.03636363636363636,21.418181818181818,15,14,0.9333333333333333,29.6,104,1,0
/article/rebel-moon-release-netflix-earlier,2,65,0.03076923076923077,47.87692307692308,13,5,0.3125,2.3076923076923075,62,1,0
/article/sofia-boutella-rebel-moon,2,10,0.2,14.3,9,6,0.6666666666666666,43.44444444444444,45,1,0
/article/zack-snyder-ambitious-franchise-plan-rebel-moon,1,4,0.25,6,12,9,0.6,10.916666666666666,73,0,0
/article/netflix-confirms-ambitious-plan-for-zack-snyders-rebel-moon,0,0,0,0,1,1,1,12,4,0,0
/article/netflix-executive-confirms-more-movies-for-zack-snyder-rebel-moon,0,0,0,0,1,0,0,3,5,0,0
/article/zack-snyder-fans-believe-star-wars-is-doomed-because-of-netflixs-rebel-moon,0,0,0,0,1,1,1,282,10,3,0
